term	daf_count	tractate_count	tractates	sample_dafs
Rabbi Akiva	184	32	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Bekhorot, Berakhot, Chagigah, Eruvin, Gittin, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Meilah, Menachot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shekalim, Shevuot, Sotah, Sukkah, Taanit, Temurah, Yevamot, Yoma, Zevachim	Avodah Zarah 20; Avodah Zarah 45; Avodah Zarah 55; Avodah Zarah 64; Bava Batra 138
Rav Huna	181	32	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Eruvin, Gittin, Horayot, Hullin, Ketubot, Kiddushin, Makkot, Megillah, Meilah, Menachot, Moed Katan, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Taanit, Yevamot, Yoma, Zevachim	Hullin 18; Hullin 9; Arakhin 14; Avodah Zarah 15; Avodah Zarah 54
Rav Yosef	154	32	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Berakhot, Chagigah, Eiruvin, Eruvin, Gittin, Horayot, Hullin, Ketubot, Kiddushin, Megillah, Meilah, Menachot, Moed Katan, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Taanit, Yevamot, Yoma, Zevachim	Hullin 16; Hullin 18; Hullin 9; Arakhin 32; Arakhin 34
Reish Lakish	153	32	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Chagigah, Gittin, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Megillah, Meilah, Menachot, Moed Katan, Nazir, Nedarim, Niddah, Pesachim, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Temurah, Yevamot, Yoma, Zevachim	Arakhin 12; Avodah Zarah 12; Avodah Zarah 33; Avodah Zarah 47; Avodah Zarah 5
Rav Pappa	145	32	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Bekhorot, Berakhot, Eruvin, Gittin, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Megillah, Meilah, Menachot, Moed Katan, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Temurah, Yevamot, Yoma, Zevachim	Hullin 16; Hullin 9; Arakhin 13; Arakhin 32; Avodah Zarah 46
Rabbi Shimon	139	32	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Eiruvin, Eruvin, Gittin, Horayot, Hullin, Ketubot, Kiddushin, Makkot, Meilah, Menachot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shekalim, Shevuot, Sotah, Sukkah, Temurah, Yevamot, Yoma, Zevachim	Hullin 9; Arakhin 14; Arakhin 27; Arakhin 32; Avodah Zarah 56
Rav Nachman	181	30	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Eruvin, Gittin, Hullin, Ketubot, Kiddushin, Makkot, Menachot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Taanit, Temurah, Yevamot, Yoma, Zevachim	Hullin 18; Hullin 25; Hullin 8; Arakhin 10; Arakhin 14
Shmuel	155	30	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Eruvin, Gittin, Hullin, Ketubot, Kiddushin, Makkot, Meilah, Menachot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Taanit, Temurah, Yevamot, Yoma, Zevachim	Hullin 8; Hullin 9; Avodah Zarah 30; Avodah Zarah 31; Avodah Zarah 56
Rav Papa	104	30	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Eruvin, Gittin, Horayot, Hullin, Ketubot, Kiddushin, Makkot, Meilah, Menachot, Moed Katan, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Temurah, Yevamot, Yoma, Zevachim	Arakhin 14; Arakhin 33; Avodah Zarah 30; Avodah Zarah 31; Avodah Zarah 33
Rabbi Elazar	65	29	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Bekhorot, Berakhot, Chagigah, Gittin, Hullin, Keritot, Kiddushin, Makkot, Meilah, Menachot, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shekalim, Shevuot, Sotah, Sukkah, Taanit, Temurah, Yevamot, Yoma, Zevachim	Avodah Zarah 62; Bava Batra 156; Bava Batra 75; Bava Kamma 79; Bava Metzia 13
Rav Yehuda	87	27	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Eruvin, Gittin, Hullin, Ketubot, Kiddushin, Makkot, Menachot, Moed Katan, Niddah, Pesachim, Sanhedrin, Shabbat, Shekalim, Shevuot, Sotah, Sukkah, Taanit, Yevamot, Yoma, Zevachim	Hullin 18; Hullin 9; Avodah Zarah 16; Avodah Zarah 28; Avodah Zarah 40
Rabban Gamliel	62	27	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Bekhorot, Berakhot, Eruvin, Gittin, Horayot, Hullin, Keritot, Ketubot, Kiddushin, Megillah, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shekalim, Shevuot, Sotah, Sukkah, Yevamot, Zevachim	Hullin 5b; Hullin 6; Hullin 9; Avodah Zarah 32; Avodah Zarah 40
Ravina	123	26	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Berakhot, Chagigah, Eruvin, Gittin, Horayot, Hullin, Ketubot, Kiddushin, Makkot, Menachot, Moed Katan, Nazir, Nedarim, Niddah, Pesachim, Sanhedrin, Shabbat, Shevuot, Yevamot, Yoma, Zevachim	Hullin 18; Hullin 3; Hullin 8; Avodah Zarah 33; Avodah Zarah 68
Ulla	63	26	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Chagigah, Eruvin, Gittin, Hullin, Keritot, Kiddushin, Makkot, Meilah, Menachot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sukkah, Temurah, Yevamot, Zevachim	Avodah Zarah 40; Bava Batra 31; Bava Kamma 114; Bava Kamma 66; Bava Kamma 67
Rav Sheshet	88	25	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Eruvin, Gittin, Hullin, Ketubot, Kiddushin, Meilah, Menachot, Nazir, Nedarim, Pesachim, Sanhedrin, Shabbat, Shevuot, Sotah, Taanit, Yevamot, Yoma, Zevachim	Avodah Zarah 43; Avodah Zarah 64; Bava Batra 102; Bava Batra 142; Bava Batra 147
Rav Kahana	78	25	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Berakhot, Gittin, Hullin, Ketubot, Kiddushin, Makkot, Menachot, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sukkah, Temurah, Yevamot, Yoma, Zevachim	Arakhin 10; Arakhin 34; Avodah Zarah 59; Avodah Zarah 68; Avodah Zarah 72
Rabban Shimon ben Gamliel	77	25	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Bekhorot, Berakhot, Eruvin, Gittin, Horayot, Hullin, Keritot, Ketubot, Kiddushin, Meilah, Menachot, Nedarim, Niddah, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Yevamot, Zevachim	Avodah Zarah 40; Avodah Zarah 71; Bava Batra 105; Bava Batra 11; Bava Batra 13
Beit Shammai vs. Beit Hillel	64	24	Avodah Zarah, Bava Batra, Bava Kamma, Beitzah, Bekhorot, Berakhot, Chagigah, Eruvin, Gittin, Hullin, Ketubot, Kiddushin, Menachot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Sotah, Sukkah, Temurah, Yevamot	Avodah Zarah 15; Bava Batra 41; Bava Kamma 116; Bava Kamma 65; Beitzah 11
Rabbi Yehoshua	58	24	Bava Batra, Bava Kamma, Beitzah, Bekhorot, Berakhot, Chagigah, Horayot, Hullin, Ketubot, Kiddushin, Megillah, Meilah, Menachot, Nazir, Niddah, Pesachim, Sanhedrin, Shabbat, Shekalim, Sotah, Sukkah, Temurah, Yevamot, Zevachim	Bava Batra 11; Bava Batra 156; Bava Batra 157; Bava Batra 60; Bava Kamma 58
Chachamim (Sages)	35	24	Avodah Zarah, Bava Batra, Bava Metzia, Beitzah, Berakhot, Chagigah, Eruvin, Horayot, Hullin, Ketubot, Meilah, Menachot, Nazir, Nedarim, Niddah, Pesachim, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Temurah, Yoma, Zevachim	Avodah Zarah 46; Bava Batra 105; Bava Batra 169; Bava Batra 94; Bava Metzia 13
Rambam	77	23	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Berakhot, Gittin, Hullin, Kiddushin, Meilah, Menachot, Middot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sukkah, Temurah, Yevamot, Yoma	Hullin 24; Avodah Zarah 30; Bava Batra 112; Bava Batra 114; Bava Batra 134
Rav	68	23	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Eruvin, Hullin, Ketubot, Kiddushin, Megillah, Meilah, Menachot, Niddah, Pesachim, Sanhedrin, Shabbat, Shevuot, Sukkah, Yevamot, Yoma, Zevachim	Hullin 16; Avodah Zarah 20; Avodah Zarah 47; Avodah Zarah 68; Avodah Zarah 74
Rabbi Zeira	60	23	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Chagigah, Eruvin, Horayot, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Meilah, Menachot, Nedarim, Niddah, Pesachim, Sanhedrin, Shabbat, Sukkah, Taanit, Yevamot, Zevachim	Hullin 18; Hullin 5; Hullin 5b; Hullin 6; Avodah Zarah 40
Rav Zeira	35	23	Arakhin, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Berakhot, Eruvin, Gittin, Hullin, Ketubot, Kiddushin, Meilah, Moed Katan, Nazir, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Sotah, Yevamot, Yoma, Zevachim	Hullin 8; Arakhin 14; Bava Batra 155; Bava Batra 84; Bava Kamma 66
Rabbi Yishmael	56	22	Avodah Zarah, Bava Kamma, Bekhorot, Chagigah, Gittin, Hullin, Ketubot, Kiddushin, Makkot, Menachot, Nazir, Nedarim, Pesachim, Sanhedrin, Shabbat, Shekalim, Shevuot, Sotah, Sukkah, Temurah, Yevamot, Zevachim	Hullin 16; Hullin 22; Avodah Zarah 7; Bava Kamma 15; Bava Kamma 50
Rabbi Yehoshua ben Levi	40	22	Avodah Zarah, Bava Batra, Bava Metzia, Bekhorot, Berakhot, Eruvin, Gittin, Hullin, Kiddushin, Megillah, Nedarim, Niddah, Pesachim, Sanhedrin, Shabbat, Shekalim, Shevuot, Sotah, Taanit, Yevamot, Yoma, Zevachim	Hullin 9; Avodah Zarah 20; Avodah Zarah 25; Avodah Zarah 30; Avodah Zarah 43
Eretz Yisrael (Land of Israel)	32	22	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Beitzah, Bekhorot, Gittin, Horayot, Hullin, Ketubot, Kiddushin, Makkot, Menachot, Nazir, Nedarim, Pesachim, Shabbat, Shekalim, Sotah, Sukkah, Taanit, Temurah	Hullin 17; Arakhin 10; Arakhin 32; Avodah Zarah 53; Bava Batra 116
Rav Nachman bar Yitzchak	35	21	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Berakhot, Eruvin, Gittin, Hullin, Keritot, Ketubot, Megillah, Menachot, Nedarim, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Yoma, Zevachim	Arakhin 33; Avodah Zarah 9; Bava Batra 122; Bava Batra 138; Bava Kamma 117
Rambam (Maimonides)	45	20	Bava Batra, Bava Kamma, Bava Metzia, Bekhorot, Eruvin, Hullin, Keritot, Kiddushin, Megillah, Menachot, Middot, Nedarim, Niddah, Pesachim, Sanhedrin, Shabbat, Shevuot, Sukkah, Yevamot, Yoma	Bava Batra 116; Bava Batra 54; Bava Batra 81; Bava Batra 9; Bava Kamma 91
Rabbi Eliezer ben Yaakov	36	20	Arakhin, Bava Kamma, Eruvin, Keritot, Ketubot, Kiddushin, Makkot, Menachot, Middot, Moed Katan, Nedarim, Sanhedrin, Shabbat, Shekalim, Shevuot, Sotah, Tamid, Yevamot, Yoma, Zevachim	Arakhin 13; Bava Kamma 94; Eruvin 61; Eruvin 62; Eruvin 63
Rav Hamnuna	32	20	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Berakhot, Eruvin, Gittin, Hullin, Ketubot, Kiddushin, Makkot, Menachot, Nazir, Nedarim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Zevachim	Avodah Zarah 52; Bava Batra 121; Bava Batra 129; Bava Batra 51; Bava Kamma 75
Rava (Amora)	27	20	Arakhin, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Berakhot, Hullin, Ketubot, Kiddushin, Makkot, Megillah, Meilah, Moed Katan, Nedarim, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Yoma, Zevachim	Arakhin 6; Bava Batra 139; Bava Kamma 43; Bava Kamma 8; Bava Metzia 105
Rabbi Yosi	36	19	Bava Batra, Bava Kamma, Bava Metzia, Eruvin, Makkot, Megillah, Meilah, Menachot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Taanit, Yevamot, Yoma, Zevachim	Bava Batra 26; Bava Kamma 21; Bava Kamma 73; Bava Metzia 3; Bava Metzia 37
Rav Assi	39	18	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Eruvin, Gittin, Horayot, Hullin, Ketubot, Kiddushin, Megillah, Meilah, Nedarim, Pesachim, Sanhedrin, Shabbat, Sukkah, Zevachim	Hullin 5; Hullin 5b; Hullin 6; Avodah Zarah 33; Avodah Zarah 73
Rabbi Tarfon	35	18	Bava Kamma, Bava Metzia, Bekhorot, Berakhot, Eruvin, Ketubot, Kiddushin, Menachot, Nazir, Nedarim, Niddah, Pesachim, Sanhedrin, Shabbat, Sukkah, Taanit, Yevamot, Zevachim	Bava Kamma 16; Bava Kamma 18; Bava Kamma 26; Bava Metzia 37; Bava Metzia 38
Avodah Zarah (Idolatry)	28	18	Avodah Zarah, Bava Metzia, Beitzah, Bekhorot, Gittin, Horayot, Hullin, Keritot, Kiddushin, Meilah, Pesachim, Sanhedrin, Shabbat, Shevuot, Sukkah, Taanit, Temurah, Zevachim	Avodah Zarah 11; Avodah Zarah 12; Bava Metzia 71; Beitzah 39; Bekhorot 3
Yom Kippur	27	18	Arakhin, Bava Batra, Beitzah, Horayot, Keritot, Meilah, Menachot, Middot, Nedarim, Pesachim, Rosh Hashanah, Shabbat, Shevuot, Sukkah, Taanit, Yevamot, Yoma, Zevachim	Arakhin 10; Bava Batra 121; Beitzah 18; Horayot 7; Keritot 18
Rabbi Chanina	33	17	Avodah Zarah, Bava Batra, Bava Kamma, Berakhot, Eruvin, Hullin, Keritot, Ketubot, Kiddushin, Menachot, Nedarim, Pesachim, Sanhedrin, Shabbat, Taanit, Yoma, Zevachim	Hullin 24; Avodah Zarah 12; Avodah Zarah 9; Bava Batra 135; Bava Batra 144
Gezeirah Shavah (Verbal Analogy)	31	17	Arakhin, Bava Kamma, Bekhorot, Berakhot, Chagigah, Gittin, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Menachot, Sanhedrin, Shekalim, Shevuot, Sukkah, Zevachim	Arakhin 30; Bava Kamma 87; Bekhorot 43; Berakhot 35; Chagigah 11
Rami bar Chama	30	17	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Eruvin, Keritot, Ketubot, Nedarim, Pesachim, Sanhedrin, Shabbat, Temurah, Yevamot, Yoma, Zevachim	Arakhin 34; Avodah Zarah 31; Avodah Zarah 47; Bava Batra 116; Bava Batra 160
Tumah (Impurity)	28	17	Bava Batra, Bava Kamma, Berakhot, Chagigah, Keritot, Ketubot, Makkot, Meilah, Menachot, Middot, Niddah, Pesachim, Shabbat, Shevuot, Yevamot, Yoma, Zevachim	Bava Batra 65; Bava Kamma 101; Berakhot 20; Chagigah 22; Keritot 9
Kohen Gadol (High Priest)	38	16	Horayot, Keritot, Kiddushin, Makkot, Menachot, Middot, Nazir, Nedarim, Pesachim, Sanhedrin, Shevuot, Sotah, Tamid, Yevamot, Yoma, Zevachim	Horayot 11; Horayot 12; Horayot 13; Horayot 2; Horayot 3
Beit Shammai	29	16	Bava Batra, Bava Metzia, Beitzah, Berakhot, Chagigah, Eruvin, Gittin, Ketubot, Menachot, Nazir, Niddah, Pesachim, Rosh Hashanah, Shabbat, Sukkah, Yevamot	Bava Batra 157; Bava Metzia 101; Beitzah 2; Berakhot 42; Chagigah 22
Parah Adumah (Red Heifer)	27	16	Bava Kamma, Chagigah, Gittin, Hullin, Kiddushin, Megillah, Middot, Niddah, Pesachim, Shabbat, Shekalim, Shevuot, Sukkah, Temurah, Yoma, Zevachim	Hullin 23; Bava Kamma 56; Chagigah 22; Chagigah 23; Gittin 53
Chatas (Sin Offering)	26	16	Arakhin, Avodah Zarah, Hullin, Keritot, Kinnim, Menachot, Nazir, Niddah, Pesachim, Shabbat, Shekalim, Shevuot, Sotah, Temurah, Yoma, Zevachim	Hullin 5; Arakhin 21; Avodah Zarah 76; Hullin 40; Keritot 23
Rabbi Shimon ben Elazar	26	16	Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Eruvin, Gittin, Hullin, Kiddushin, Megillah, Nedarim, Pesachim, Sanhedrin, Shabbat, Sotah, Yevamot, Zevachim	Hullin 6; Bava Batra 41; Bava Kamma 78; Bava Kamma 94; Bava Metzia 21
Rav Sheshes	26	16	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Eruvin, Gittin, Hullin, Ketubot, Makkot, Menachot, Niddah, Rosh Hashanah, Sanhedrin, Sotah, Temurah, Zevachim	Avodah Zarah 68; Avodah Zarah 72; Avodah Zarah 76; Bava Batra 129; Bava Batra 135
Rabbi Yossi	24	16	Avodah Zarah, Bava Batra, Bava Metzia, Bekhorot, Berakhot, Hullin, Keritot, Kiddushin, Menachot, Moed Katan, Niddah, Pesachim, Shabbat, Sukkah, Yevamot, Zevachim	Hullin 24; Avodah Zarah 66; Bava Batra 105; Bava Batra 93; Bava Metzia 104
Baraita	20	16	Bava Kamma, Bava Metzia, Chagigah, Eruvin, Gittin, Hullin, Keritot, Ketubot, Nazir, Nedarim, Niddah, Sanhedrin, Shevuot, Yevamot, Yoma, Zevachim	Hullin 16; Bava Kamma 20; Bava Kamma 28; Bava Metzia 11; Chagigah 6
Terumah	20	16	Bava Batra, Bava Metzia, Hullin, Ketubot, Kiddushin, Meilah, Menachot, Nazir, Nedarim, Niddah, Pesachim, Sanhedrin, Shevuot, Sotah, Yevamot, Zevachim	Bava Batra 117; Bava Metzia 90; Hullin 134; Ketubot 16; Ketubot 24
Kohen (Priest)	24	15	Bava Batra, Bava Metzia, Bekhorot, Hullin, Kiddushin, Kinnim, Megillah, Moed Katan, Nedarim, Niddah, Pesachim, Sanhedrin, Sotah, Yevamot, Zevachim	Bava Batra 127; Bava Metzia 11; Bekhorot 18; Bekhorot 31; Bekhorot 49
Rashi (medieval commentator)	23	15	Avodah Zarah, Bava Batra, Bava Metzia, Bekhorot, Berakhot, Chagigah, Eruvin, Gittin, Horayot, Meilah, Menachot, Nedarim, Sukkah, Yoma, Zevachim	Avodah Zarah 13; Bava Batra 108; Bava Batra 14; Bava Metzia 34; Bekhorot 22
Rabbi Yochanan vs. Reish Lakish	22	15	Avodah Zarah, Bava Batra, Bava Metzia, Gittin, Hullin, Keritot, Kiddushin, Makkot, Meilah, Menachot, Pesachim, Sanhedrin, Shabbat, Yevamot, Yoma	Avodah Zarah 34; Avodah Zarah 42; Bava Batra 136b; Bava Metzia 47; Bava Metzia 48
Ramban	19	15	Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Berakhot, Eruvin, Hullin, Kiddushin, Nedarim, Niddah, Rosh Hashanah, Sanhedrin, Sotah, Sukkah, Yoma	Bava Batra 93; Bava Kamma 27; Bava Kamma 28; Bava Kamma 30; Bava Metzia 26
Rav Acha bar Yaakov	19	15	Avodah Zarah, Bava Batra, Eruvin, Hullin, Ketubot, Kiddushin, Makkot, Menachot, Pesachim, Sanhedrin, Shabbat, Shevuot, Temurah, Yoma, Zevachim	Avodah Zarah 10; Bava Batra 121; Bava Batra 14; Eruvin 63; Hullin 33
Rabbi Ami	17	15	Avodah Zarah, Bava Batra, Bava Metzia, Gittin, Hullin, Kiddushin, Nedarim, Niddah, Pesachim, Sanhedrin, Sukkah, Taanit, Yevamot, Yoma, Zevachim	Hullin 6; Avodah Zarah 47; Bava Batra 11; Bava Metzia 36; Gittin 44
Rabbi Shimon bar Yochai	17	15	Bava Batra, Bava Kamma, Berakhot, Chagigah, Keritot, Kiddushin, Meilah, Menachot, Moed Katan, Nazir, Pesachim, Shabbat, Sotah, Sukkah, Yevamot	Bava Batra 141; Bava Kamma 65; Berakhot 10; Chagigah 9; Keritot 25b
Terumah (Priestly Portion)	33	14	Arakhin, Avodah Zarah, Chagigah, Gittin, Hullin, Keritot, Ketubot, Kiddushin, Menachot, Niddah, Sanhedrin, Shabbat, Yevamot, Zevachim	Arakhin 26; Arakhin 6; Avodah Zarah 49; Chagigah 22; Chagigah 24
Rabbi Chiya	25	14	Avodah Zarah, Bava Batra, Bava Metzia, Berakhot, Eruvin, Gittin, Hullin, Menachot, Moed Katan, Nazir, Niddah, Pesachim, Sanhedrin, Shabbat	Avodah Zarah 72; Bava Batra 41; Bava Batra 59; Bava Metzia 4; Bava Metzia 5
