preferred_canonical	merged_from	before_daf_count	after_daf_count
Ashir (wealth)	Ashirut (wealth)	1	2
Ashir (wealthy person)	Ashirin Mekamtzin (rich people are stingy)	2	3
Ashkenazi (Franco-German Jewry)	Ashkenaz (Franco-German Jewry); Ashkenazi Jews	2	4
Ashkenazi Custom (practice)	Ashkenazi Tradition	5	6
Ashmachta (unenforceable conditional promise)	Asmachta (textual support for rabbinic law); Asmachta (unenforceable conditional promise)	0	39
Ashpa (garbage dump)	Ashpah (trash pile) and Pinui (removal); Ashpato (garbage heap)	1	3
Assei (positive commandments)	Asseh (positive commandment that does not invalidate)	1	2
Assur (forbidden)	Assur (bound; tied)	9	10
Assur L'Kana (forbidden to be jealous)	Assur Lekanot (forbidden to be jealous)	1	2
Atara (crown)	Atara (corona of the penis)	2	4
Atifat HaRosh (head veiling)	Atifat HaRosh (head wrapping)	1	2
Atonement (Kappara)	Atonement in Kappara (Atonement for Kohanim vs. Israel)	1	2
Atzeret	Atzeres (holy convocation)	1	3
Atzitz Nakuv (perforated pot)	Atiz Nakuv (flowerpot with hole); Atzitz Nakuv (flowerpot with hole)	1	6
Av and Tolada (primary and derivative categories)	Av and Tolada categories	1	2
Av HaTumah (primary source of impurity)	Av HaTumah and Rishon impurity levels	14	15
Av Melachah and Tolada Melachah	Av Melachah (primary forbidden labor on Shabbat)	1	2
Avak Ribbit (dust of interest)	Avak Ribit (dust of interest)	3	4
Aveilus (mourning laws)	Aveilus (mourning)	1	18
Aveira (sin/transgression)	Aveira (transgression)	1	8
Avel (mourner)	Avel in mourning (mourner obligations)	3	5
Avelut (mourning)	Avelut in Shabbat (mourning on Shabbat)	3	4
Avida (lost item)	Avida (lost animal)	1	2
Aviv (ripened grain)	Aviv (ripening grain)	3	5
Avnet (priestly belt)	Avnet (belt)	2	3
Avodah (Temple service)	Avoda (service)	29	32
Avodah Zara (idolatry)	Avodah Zarah (idolatry); Avodat Kochavim (idolatry)	4	101
Avodas Pnim (worship in the Temple)	Avoda tama (defiled service)	1	2
Avon (willful sin)	Avon (iniquity)	1	3
Avot (patriarchs)	Avot (forefathers)	1	2
Avot V'Toldot (primary and secondary categories)	Avot vs. Korbanot Model	1	2
Avuda (lost status)	Avud (lost)	2	5
Aylonit (woman incapable of bearing children)	Ayalonit (infertile woman)	3	7
Azarah (Temple courtyard)	Azara (Temple courtyard); Azarot (Temple courtyards)	33	35
Azharah (warning)	Azharah (warning) and Onsh (punishment)	3	4
Ba'al HaBayit (homeowner)	Ba'al habayit (employer/homeowner); Baal Habayit (homeowner)	14	17
Ba'al Keri (seminal emission)	Baal Keri (man with seminal emission)	20	23
Ba'al Korchah (against her will)	Baal Karchah (without consent)	3	4
Ba'al Mum (blemished)	Ba'al mum (blemished animal); Baal Mum (blemished animal)	10	27
Ba'al Peor	Baal Peor	1	4
Ba'al Teshuvah (repentant person)	Ba'alei Teshuvah (penitents)	3	6
Ba'alat Mum (blemished animal)	Ba'al Mum in offerings (blemished offering)	1	2
Ba'alei Mumin (blemished animals)	Ba'alei Mumim (priests with blemishes)	3	5
Babylonia vs. Eretz Yisrael (practice differences)	Babylon and Eretz Yisrael	2	3
Badika (examination)	Badikos vs. Chakirot (testimony examination)	2	3
Badim (ark staves)	Badim (poles/staves)	1	2
Baheret (discoloration in tzara'at)	Baheret, se'et, sid, and krum habeitza (four types of leprosy marks)	1	2
Baitusim (Sadducean sect)	Baitus ben Zonin	3	4
Bakar and Tzon (cattle and sheep)	Bakar VaTzon (cattle and sheep)	0	1
Bal Talin (prohibition on withholding wages)	Bal talin (do not delay payment)	4	5
Bamah (private altar)	Bamah Ketanah (private altar); Bamah Ktana (small private altar); Bamah Yachid (private altar); Bamas Yachid (private altar)	21	27
Bamah Gedolah (central public altar)	Bamah Gedola (great central altar); Bamas Tzibur (public communal altar)	2	4
Bamidbar (Book of Numbers)	Bamidbar (in the wilderness)	1	2
Banim v'lo banot (sons and not daughters)	Banecha v'lo bnosecha (sons and not daughters); Banim v'lo banot (men and not women)	0	3
Bar Mitzvah (adulthood at age thirteen)	Bar/Bat Mitzvah (age of majority)	7	10
Bar Sisan property case	Bar Sisan (property called by this name)	1	2
Baraita (Tannaitic teaching)	Baraita; Baraita (tannaitic source)	49	51
Bari v'bari (definite versus definite claims)	Bari v'bari (definite vs. definite claims); Bari ve-Bari (both parties make definite claims)	2	6
Bari v'shema (definite vs. uncertain claim)	Bari v'shma bari (strong versus doubtful claim); Bari ve-Shema (definite vs. doubtful claim); Bari vs. Shema (certainty vs. doubt)	1	11
Barkai (light signal)	Barkai formula	1	2
Basar B'Chalav (meat and milk)	Basar V'Chalav (meat and milk)	15	16
Bat Kohen (daughter of a priest)	Bat Ish Kohen (daughter of a priestly man)	22	23
Bat Kol (heavenly voice)	Bas Kol (heavenly voice); Bat kol (heavenly voice); Bat kol (heavenly voice) and righteous deaths	14	21
Bat Levi (Levite woman)	Bat Levi (daughter or wife of Levite)	1	2
Batei Avos (family houses of priests)	Batei Avos (ancestral houses); Batei Avos (father's houses)	1	3
Bathing	Bathing (rechitza)	1	3
Batim (compartments of tefillin)	Batim (houses)	1	2
Batla Daato Azel Kol Adam (abandoned by all people)	Batla Daato Etzel Kol Adam (intention negated by common practice)	1	3
Bavel (Babylon)	Bavel (Babylon) and distant lands; Bavel in context of genealogical significance; Bavel in context of omens; Bavel in relation to Eretz Yisrael; Bavel vs. Eretz Yisrael	11	20
Bayit (house)	Bayit (house) and absorbed fluids; Bayit (house) and wife equivalence; Bayit (house) as dwelling; Bayit (house) definition; Bayit (house) exemption in inauguration; Bayit (house) vs. Har (mountain) vs. Sadeh (field); Bayit k'man d'malya (house as resting place); Bayit Mekurah (roofed house)	5	13
Bayit HaMikdash (Temple)	Bayit Rishon (First Temple); Bayit Sheni (Second Temple)	2	7
Bayom (during the day)	Bayom (on that day); Bayom (on the day)	1	3
Be'chayim u'vemavet (in life and in death)	Be'chayai u'vemoti (in my life and in my death)	1	2
Be'ein (the actual object)	Be'ein (in its own form)	1	2
Be'itah achishena (in its time, hasten it)	Be'itah (kicking)	1	2
Be'ulah (woman who has had sexual intercourse)	Be'ulah (non-virgin woman)	1	3
Bechor (firstborn)	Bechor (firstborn animal offering); Bechor (firstborn animal); Bechor (firstborn son)	45	100
Bechor Behema (firstborn animal)	Bechor Behemah Tehorah (firstborn kosher animal)	1	2
Bedek HaBayit (Temple maintenance fund)	Bedek habayit (temple treasury)	21	22
Bedi'avad (after the fact)	Bedieved (post-facto acceptance); Bedieved (post-facto leniency); Bedieved (post-facto validity)	20	23
Bedi'avad vs. Lechatchila	Bedieved vs. Lechat	2	3
Bedika (examination)	Bedika (checking the knife); Bedika (checking with cloth); Bedika (checking); Bedika (examination cloth); Bedika (examination of facts); Bedika (internal checking); Bedika (internal examination); Bedika (internal organ checking); Bedika (investigation of facts); Bedika (testing)	4	21
Befanai nechtav uvfanai nechtam (written and signed before witnesses)	Befanai nechtav (written before witnesses)	3	4
Beged ish u-beged isha (men's and women's garments)	Beged ish (men's garment); Beged isha (women's garment)	1	3
Behemah (domestic animal)	Behemah (animal); Behemah Bayit (domestic animal)	22	24
Behemah dakah (small animal)	Behemah Dakah (small animals)	3	5
Behemah gasah (large animal)	Behemah Gasah (large animals)	3	5
Behemah Teme'ah (non-kosher animal)	Behemah temeia (non-kosher animal)	3	4
Beheret (bright spot)	Beheret (snow-white color)	1	2
Beis Din (Jewish court)	Beis Din shel Yisrael (Jewish court)	27	28
Beis Din HaGadol (High Court)	Beis Din of seventy-one	5	7
Beis HaAvel (mourners' space)	Beis Avel (house of mourning)	1	3
Beis HaDeshen (ash pit)	Beis Hadeshen (ash house)	1	3
Beis HaMidrash (study hall)	Beis Medrash (study hall)	1	2
Beis Hillel	Beis Hillel and Beis Shammai dispute	7	34
Beis Kvoros (cemetery)	Beis HaKevaros (cemetery)	1	2
Beis Shammai	Beis Shammai vs. Beis Hillel	7	21
Beit Abtinas	Beit Abtinas and Ketoret Monopoly	1	2
Beit Av (daily priestly group)	Beis Av (priestly subdivision)	3	4
Beit Chalifot (knife storage chamber)	Beit Chalipot	1	2
Beit Chonyo (temple in Alexandria)	Beit Chonyo (Temple of Chonyo)	1	2
Beit Din (court of law)	Beit Din (Jewish court)	1	51
Beit Din authority and jurisdiction	Beit Din authority and psak	1	2
Beit Din Ha-Gadol (Great Sanhedrin)	Beit Din of Seventy-One	6	7
Beit Din of Three	Beit Din in three judges	1	2
Beit Din of three vs. ten	Beit Din in five judges	1	2
Beit Dira (domicile)	Beit Dirah (dwelling)	4	5
Beit Ha-Kiseh (toilet)	Beit Kisei (bathroom)	2	3
Beit Ha-Kneset (synagogue)	Beit Knesset (synagogue)	3	6
Beit Ha-Midrash (house of study)	Beit Medrash (study hall)	1	9
Beit Ha-Mikdash (Holy Temple)	Beit HaMikdash (Temple)	62	63
Beit HaPras (field with unknown grave)	Beit Ha-Peras (plowed cemetery field)	1	10
Beit Kibbul (receptacle criterion for vessels)	Beit Kibul (receptacle)	1	4
Beit Kor (land measure)	Beit kor (measure of field area)	6	7
Beit Mitbachaya (slaughterhouse)	Beit Midbachaya (altar area)	1	2
Beit satayim (two seahs measure)	Beit Satayim (area measure)	1	8
Beit Se'ah (land measure)	Beit se'ah (standard area)	1	2
Beit sha'ar (gatehouse)	Beit Sha'ar (gatehouse); Beit shaar (gatehouse)	0	5
Beitzah (egg-sized measure)	Beitza (egg measure)	4	6
Belila (mixing with oil)	Belila Raka (loose mixture)	3	4
Belula (mixed)	Belula (mixed together); Beluah (mixed)	1	3
Bemezid (intentional)	Bemeizid (willful sin)	2	3
Ben Bechor and Chelek Bechorah (firstborn portion)	Bekhor (firstborn) double portion	1	2
Ben Bukhri Testimony	Ben Bukhri vs. Rabban Yochanan ben Zakkai	1	2
Ben Gazlan (son of thief)	Ben Ben Gazlan (grandson of thief)	1	2
Ben Gerusha and Ben Chalutzah (son of divorcee or widow from levirate non-marriage)	Ben Gerusha (son of divorcee)	6	7
Ben Katina	Ben Katin	0	2
Ben Kodem Le-Bat in inheritance (son inherits before daughter)	Ben Kodem Le-Bat (son inherits before daughter)	1	2
Ben Nannas in contradictory oaths (second clause nullifies first)	Ben Nannas	1	11
Ben Shanah (one year old)	Ben Shana (lamb-wine analogy)	1	2
Ben Shmona (eight-month infant)	Ben Shemonah	1	2
Ben Yomo (within 24 hours)	Ben Yom Echad (one-day-old infant)	3	4
Benaiah ben Jehoiada	Benayahu ben Yehoyada	1	5
Benei Torah (educated scholars)	Beni Torah vs. Non-Beni Torah	1	2
Benjamin (tribe and descendants)	Benjamin	1	3
Beraita (tannaitic teaching not in Mishnah)	Beraita (Tannaitic teaching outside Mishnah)	5	7
Berakhah (blessing)	Berakhot (blessings)	3	4
Bereira (retroactive clarification)	Bereira (retroactive determination)	2	6
Beriyas Olam (creation of world)	Bereishit narratives in creation	1	2
Besamim in Havdalah	Besamim (spices)	1	2
Besis (base supporting object)	Besis (base supporting muktzah object)	5	6
Bestiality (absolute disqualification)	Bestiality; Bestiality concerns	1	4
Besulah (virgin)	Besulah (pre-menarche woman)	5	6
Besulim (virginity)	Besulim (hymen)	1	2
Bet Hillel and Bet Shammai	Bet Shammai vs. Bet Hillel in Sukkah	1	2
Betulah (virgin)	Betula (virgin; hymen intact); Betula (virgin; young girl who has not menstruated); Betulah (virgin) in wedding on Wednesday; Betulah (virgin; young girl)	7	11
Betulah (virgin) vs. Almanah (widow)	Betulah and almanah	1	2
Betulah/Virginity	Betulim (virginity); Betulot/Virginity analogy	1	3
Betzalel and the Mishkan	Betzalel; Betzalel in construction of the Aron	1	4
Betzelem Elohim (divine image)	Betzelem Elokim (in image of God)	1	2
Beulah (non-virgin)	Beulah (non-virgin) / Bogeret (mature woman)	1	2
Bevas achat (all at once)	Bevat achat (all at once)	1	2
Beyado (within one's power)	Beyada (in one's control; domain); Beyado (within one's power; ability)	1	3
Bi'ah (sexual intercourse)	Bi'ah (full intercourse); Bi'ah (intercourse); Bi'ah (sexual union; intercourse)	1	5
Bi'ur (removal; destruction of Shemita produce)	Bi'ur (destruction obligation of Shemittah produce); Bi'ur (destruction; removal of Sabbatical produce); Bi'ur (removal obligation); Bi'ur (removal; burning)	1	5
Bi'ur chametz (destroying chametz)	Bi'ur chametz	1	2
Biah (sexual intercourse)	Bia (sexual relations); Bia (sexual union as mode of Kiddushin); Biah (act of intercourse); Biah (consummation; sexual union); Biah (intercourse; cohabitation); Biah (sexual intercourse; consummation); Biah (sexual relations)	1	10
Biah be-miktzat (partial intercourse)	Bia'ah be-miktzat (partial entry); Bia bimiktzat (entry with body part)	1	3
Biah pesulah (invalid; problematic consummation)	Biah pesulah (invalid act of union)	1	2
Biat zenut (forbidden intercourse)	Biat zenut (relations without marriage protections); Bi'as zenus (marital relations as fornication)	1	3
Biblical vs. Rabbinic Law (d'oraita vs. derabbanan)	Biblical (d'oraita) vs. Rabbinic (d'rabanans); Biblical obligation vs. rabbinic obligation; Biblical vs. Rabbinic Concerns; Biblical vs. Rabbinic Obligations	3	8
Bifanai Nichtav (written before witnesses)	Bifanai Nechtav (written before witnesses); Bifanai Nichtav U'Bifanai Nechtam (written and signed before witnesses)	2	16
Bigdei Kehunah (priestly garments)	Bigdei Kehuna (priestly garments); Bigdei Kehunah (priestly garments) comparison	16	18
Bikkurim (first fruits)	Bikurim (first fruits); Bikkurim in Human Activity	27	29
Bimah (pulpit)	Bimah (platform); Bimus (platform/stone)	1	3
Binah (understanding/wisdom)	Binah in salt metaphor (wisdom metaphor)	1	2
Birah (temple/castle)	Bira (capital/temple fortress); Birah (castle; multiple separate dwellings); Birah (central place worthy of sanctity)	1	4
Birkat HaMazon (grace after meals)	Birkat Hamazon (blessing after meals)	18	20
Birkat HaMitzvot (blessings on commandments)	Birkat HaMitzvah (blessing on performance of commandment)	1	2
Birkat HaNehenin (blessing before consuming)	Birkat Hanehenin (blessing for benefit)	2	3
Birkat Hashanim (blessing of years/sustenance)	Birkat Hashanim (blessing of the years)	1	2
Birkat HaShevach (blessing of praise)	Birkat Hashevach (blessing of praise)	3	4
Birkat HaTorah (blessing on Torah)	Birkat HaTorah (blessing over Torah)	1	4
Birkat Kohanim (priestly blessing)	Birkat kohanim (priestly blessing)	8	9
Bishul (cooking)	Bishul on Shabbat (cooking on Shabbat)	12	14
Bitel (nullification)	Bittul (nullification); Bitul (nullification)	4	50
Bittul b'rov (nullification by majority)	Bitul be-Rov (nullification in majority)	1	2
Bittul Beit HaMidrash (cessation of study hall)	Bittal Beit Midrash (interruption of study)	1	2
Bittul of idolatry (nullification of idol)	Bitul Avodah Zarah (nullification of idol); Bittul avodah zara (nullification of idol worship)	2	5
Bitul Torah (neglect of Torah study)	Bitul Torah (wasting time from Torah study)	2	3
Bizayon (disgrace)	Bizayon (disrespect)	1	5
Bizui Kodashim (disrespect to sacred objects)	Bizayon Kodshim (degradation of sacred objects)	1	3
Blemished animals (ba'al mum)	Blemishes on body (mumim she'baguf)	2	3
Blind in one eye (suma b'achat mei'einav)	Blind in one eye: physical defects and exemptions	1	2
Blood application (hazaah)	Blood application	1	2
Blood application on altar	Blood application requirements (zrikat hadam)	1	2
Blood spurting (zinkat dam)	Blood squirting (zeniqat dam)	1	2
Bloodletting (hakazah)	Bloodletting (hakazat dam); Bloodletting (hakiz dam); Bloodletting (hekiz dam)	1	4
Bnei Chorin (free persons)	Bnei chorin (unencumbered property)	1	2
Bnei Noach (Noahide laws)	Bnei Noach (Jews vs. non-Jews)	14	15
Bo'el niddah (one who has relations during menstruation)	Boel niddah (relations with menstruant)	2	4
Boat and ship terminology	Boat delivery (Sfina)	1	3
Boel (suspected adulterer)	Boel Aramit (relations with non-Jewish woman); Boel biat mitzvah u'poresh (one act then separate)	1	3
Boleshet (military forces)	Bolshet (invading army)	1	2
Boneh and soter on Shabbat	Boneh (building)	1	7
Bor (pit/cistern)	Bor (pit/well); Bor (well) exemption for vessels	27	29
Bor and dus	Bor and dos in land sale	1	2
Boreach (runaway)	Boreach (fugitive); Boreach (runaway slave)	1	3
Borei minei besamim (blessing on aromatic things)	Borei atzei besamim (blessing on aromatic woods)	1	2
Borei peri hagafen (blessing over wine)	Borei Pri Ha'adama (blessing for ground produce); Borei Pri HaGafen (blessing for wine); Borei Pri Hagafen (blessing on wine)	1	21
Borer (selecting/sorting)	Borer in Yom Tov (selecting/sorting on festival)	9	10
Boshet (embarrassment)	Boshes u'pegam (embarrassment and injury); Boshet and Pegam (embarrassment and injury compensation); Boshet Panim (shame of face)	17	23
Botzea (compromise)	Botze'a (one who breaks bread and blesses)	1	2
Bowing/Prostration	Bowing and rising in prayer	1	3
Bracha (blessing)	Brachot (blessings)	11	12
Braita (tannaitic teaching outside Mishnah)	Braita (external Talmudic source)	73	76
Breaking earthenware vessels (kli cheres)	Breaking pottery (shvirin et hacheres)	1	2
Breaking the tablets (shivrei luchot)	Broken tablets in ark	1	2
Briah (whole creature)	Briya (whole creature)	1	3
Brit Milah (circumcision)	Brit Milah on eighth day; Brit Milah on Shabbat	29	35
Brreichot (pools/collected reservoirs)	Breicha (ripening cycle/brood); Breicha Sheniyah (second brood)	0	2
Buffer zone (gudi d'arudai)	Buffer zone (darchan shel bnei adam)	1	2
Burial (kevura)	Burial and funeral practices; Burial practices and customs	1	3
Burning of fats and organs (eimurim)	Burning on mizbeach (altar)	1	2
C-section birth (yotzei dofen)	C-section animals (yotzei dofen)	2	3
Called imma (grandmother/mother)	Canaanite slaves (eved kena'ani)	1	2
Camp transit (siluk masaot)	Camp in motion (machaneh moving)	1	2
Candlelight (or haner)	Candlelight reading (keriat b'or haner)	1	2
Capital cases (dinei nefashos)	Capital crimes (dinei nefashot)	1	2
Carob tree	Carob and sycamore trees; Carobs (charuvin)	1	5
Carrying (hotza'ah)	Carrying (hotza'ah) vs. moving (tiltul)	4	5
Cedar tree	Cedar tree between trees; Cedar vs. Sycamore (roof materials)	1	3
Chaburah (group)	Chaburot (eating groups); Chaburah (wound requirement)	7	11
Chadash (new grain)	Chadash (new grain before Omer); Chadash (new grain before Pesach)	7	12
Chafisah/Diluskama (containers)	Chafisa, deluskama (containers)	1	2
Chakhamim (sages)	Chachamim (sages); Chachamim (Sages)	3	90
Chalal (disqualified priest)	Chalal (one who lost priestly status)	28	29
Chalipin (barter)	Chalipin (barter/exchange as acquisition)	1	10
Chalitza (shoe removal in levirate release)	Chalitza ceremony; Chalitza requirements; Chalitza vs. Yibum	85	89
Challah (dough offering)	Challa (dough obligation); Challah and bread (dough offering and bread); Challah obligation	18	21
Challal (disqualified priest)	Challala (woman disqualified from marrying kohen)	4	6
Challos (loaves)	Chalos (unleavened loaves); Chalot HaTodah (loaves of thanksgiving offering); Chalos Todah (loaves of thanksgiving offering); Chalot v'Rekikin (loaves and wafers); Chalos and rekikin (loaves and wafers)	3	8
Chalutza (woman released by halitza)	Chalutza forbidden to kohanim	2	4
Chamei Tiberias (hot springs)	Chamei Tverya (hot springs of Tiberias)	4	5
Chametz (leavened product)	Chametz in Pesach; Chametz B'Pesach (leavened product on Passover)	33	44
Chamim (hot water)	Chamin (hot water)	1	2
Chamot (mother-in-law)	Chamoto (mother-in-law); Chamuto (mother-in-law)	1	4
Chanan HaMitzri	Chanana HaMitzri	1	3
Chananya ben Chakinai	Chanani ben Chakinai	2	3
Chananya ben Chizkiyah ben Garon	Chanina ben Chizkiyah	1	2
