tractate,dirname,base_daf,room_for_promotion,next_plain_dir_if_blocked,own_b_item_count,own_b_matched,own_b_coverage_pct,next_a_item_count,next_a_matched,next_a_coverage_pct,next_b_item_count,next_b_matched,next_b_coverage_pct,total_daf_coverage_pct,shiur_start_amud,amud_b_segment_index,next_daf_widened,skip_reason
Makkot,makkot_10b,10,False,makkot_11,20,4,20.0,21,7,33.3,15,1,6.7,26.6,a,0,True,
Megillah,megillah_5b,5,True,,18,4,22.2,19,6,31.6,29,0,0.0,26.9,a,1,True,
Megillah,megillah_6b,6,True,,29,2,6.9,21,2,9.5,22,0,0.0,8.2,a,1,True,
Megillah,megillah_15b,15,True,,22,2,9.1,24,3,12.5,20,0,0.0,10.8,,,True,
Megillah,megillah_16b,16,True,,20,6,30.0,17,2,11.8,20,0,0.0,20.9,a,1,True,
Megillah,megillah_17b,17,False,megillah_18,20,8,40.0,30,2,6.7,18,0,0.0,23.4,a,1,True,
Megillah,megillah_26b,26,False,megillah_27,17,12,70.6,26,2,7.7,24,0,0.0,39.1,a,1,True,
Meilah,meilah_16b,16,False,meilah_17,8,3,37.5,15,0,0.0,13,0,0.0,18.8,a,1,True,
Menachot,menachot_28b,28,False,menachot_29,17,6,35.3,19,13,68.4,17,1,5.9,51.9,b,2,True,
Menachot,menachot_29b,29,False,menachot_30,17,17,100.0,18,5,27.8,17,0,0.0,63.9,,,True,
Menachot,menachot_35b,35,False,menachot_36,10,8,80.0,9,9,100.0,11,1,9.1,90.0,,,True,
Menachot,menachot_36b,36,False,menachot_37,11,10,90.9,8,7,87.5,17,0,0.0,89.2,,,True,
Menachot,menachot_49b,49,False,menachot_50,12,10,83.3,20,12,60.0,22,1,4.5,71.7,,,True,
Menachot,menachot_50b,50,False,menachot_51,22,20,90.9,23,20,87.0,22,2,9.1,89.0,a,1,True,
Menachot,menachot_59b,59,False,menachot_60,23,17,73.9,13,11,84.6,23,4,17.4,79.2,b,0,True,
Menachot,menachot_64b,64,False,menachot_65,12,10,83.3,12,11,91.7,13,1,7.7,87.5,a,1,True,
Middot,middot_34b,34,True,,5,1,20.0,4,0,0.0,3,0,0.0,10.0,a,4,True,
Moed Katan,moed_katan_16b,16,False,moed_katan_17,29,5,17.2,26,7,26.9,19,0,0.0,22.0,a,1,True,
Nazir,nazir_26b,26,True,,7,3,42.9,3,3,100.0,8,0,0.0,71.5,a,0,True,
Nazir,nazir_29b,29,True,,11,1,9.1,8,2,25.0,11,0,0.0,17.1,a,0,True,
Nazir,nazir_42b,42,True,,10,5,50.0,11,1,9.1,8,0,0.0,29.6,a,1,True,
Nazir,nazir_44b,44,True,,7,4,57.1,15,2,13.3,10,0,0.0,35.2,a,1,True,
Nazir,nazir_49b,49,True,,6,1,16.7,13,3,23.1,8,0,0.0,19.9,a,1,True,
Nazir,nazir_54b,54,False,nazir_55,6,1,16.7,9,2,22.2,2,0,0.0,19.4,a,2,True,
Nazir,nazir_55b,55,False,nazir_56,2,0,0.0,9,5,55.6,15,0,0.0,27.8,,,True,
Nazir,nazir_56b,56,True,,15,5,33.3,8,2,25.0,8,0,0.0,29.1,a,0,True,
Nazir,nazir_59b,59,False,nazir_60,11,5,45.5,10,4,40.0,10,0,0.0,42.8,a,3,True,
Nedarim,nedarim_72b,72,True,,10,1,10.0,7,2,28.6,5,0,0.0,19.3,a,3,True,
Nedarim,nedarim_86b,86,True,,5,1,20.0,10,6,60.0,5,1,20.0,40.0,a,0,True,
Niddah,niddah_10b,10,False,niddah_11,18,10,55.6,15,0,0.0,16,1,6.2,27.8,b,5,True,
Niddah,niddah_11b,11,True,,16,11,68.8,13,7,53.8,11,1,9.1,61.3,a,0,True,
Niddah,niddah_72b,72,True,,19,9,47.4,16,15,93.8,0,0,,70.6,,,False,
Pesachim,pesachim_80b,80,False,pesachim_81,19,6,31.6,15,2,13.3,23,0,0.0,22.5,a,0,True,
Sanhedrin,sanhedrin_6b,6,False,sanhedrin_7,15,2,13.3,19,3,15.8,19,0,0.0,14.6,a,1,True,
Sanhedrin,sanhedrin_7b,7,False,sanhedrin_8,19,1,5.3,15,1,6.7,7,0,0.0,6.0,a,5,True,
Sanhedrin,sanhedrin_8b,8,False,sanhedrin_9,7,2,28.6,6,1,16.7,9,1,11.1,22.6,a,3,True,
Sanhedrin,sanhedrin_19b,19,False,sanhedrin_20,21,4,19.0,16,1,6.2,20,2,10.0,12.6,a,0,True,
Sanhedrin,sanhedrin_29b,29,False,sanhedrin_30,22,3,13.6,33,1,3.0,26,1,3.8,8.3,,,True,
Sanhedrin,sanhedrin_46b,46,True,,24,2,8.3,20,5,25.0,19,0,0.0,16.6,a,0,True,
Sanhedrin,sanhedrin_59b,59,True,,25,6,24.0,25,7,28.0,20,0,0.0,26.0,a,3,True,
Sanhedrin,sanhedrin_71b,71,False,sanhedrin_72,22,0,0.0,17,1,5.9,19,0,0.0,3.0,,,True,
Sanhedrin,sanhedrin_93b,93,True,,18,3,16.7,17,2,11.8,20,1,5.0,14.2,b,1,True,
Shabbat,shabbat_28b,28,True,,12,2,16.7,9,4,44.4,12,1,8.3,30.5,a,1,True,
Shabbat,shabbat_113b,113,False,shabbat_114,14,0,0.0,12,0,0.0,8,0,0.0,0.0,,,True,
Sotah,sotah_7b,7,False,sotah_8,15,5,33.3,14,2,14.3,18,1,5.6,23.8,b,3,True,
Taanit,taanit_13b,13,False,taanit_14,16,6,37.5,14,0,0.0,15,1,6.7,18.8,a,2,True,
Tamid,tamid_33b,33,True,,,,,,,,,,,,,,,missing 03_final.md or sefaria_next.md
Yevamot,yevamot_10b,10,True,,16,6,37.5,14,6,42.9,21,0,0.0,40.2,a,1,True,
Yevamot,yevamot_16b,16,True,,10,1,10.0,13,2,15.4,16,1,6.2,12.7,a,1,True,
Yevamot,yevamot_19b,19,True,,13,2,15.4,20,7,35.0,18,2,11.1,25.2,a,2,True,
Yevamot,yevamot_23b,23,False,yevamot_24,15,1,6.7,20,5,25.0,16,0,0.0,15.8,a,5,True,
Yevamot,yevamot_24b,24,False,yevamot_25,16,4,25.0,14,1,7.1,14,1,7.1,16.1,a,3,True,
Yevamot,yevamot_25b,25,False,yevamot_26,14,4,28.6,24,6,25.0,9,1,11.1,26.8,a,1,True,
Yevamot,yevamot_26b,26,True,,9,3,33.3,15,5,33.3,10,0,0.0,33.3,a,1,True,
Yevamot,yevamot_28b,28,False,yevamot_29,26,12,46.2,9,0,0.0,18,0,0.0,23.1,a,0,True,
Yevamot,yevamot_29b,29,False,yevamot_30,18,2,11.1,14,0,0.0,14,1,7.1,5.5,a,0,True,
Yevamot,yevamot_30b,30,False,yevamot_31,14,10,71.4,12,1,8.3,15,0,0.0,39.9,a,1,True,
Yevamot,yevamot_31b,31,False,yevamot_32,15,3,20.0,13,2,15.4,11,0,0.0,17.7,a,2,True,
Yevamot,yevamot_32b,32,False,yevamot_33,11,0,0.0,10,2,20.0,13,0,0.0,10.0,,,True,
Yevamot,yevamot_33b,33,True,,13,5,38.5,14,4,28.6,10,0,0.0,33.5,a,0,True,
Yevamot,yevamot_42b,42,True,,11,1,9.1,20,4,20.0,14,0,0.0,14.6,a,1,True,
Yevamot,yevamot_59b,59,True,,11,0,0.0,16,1,6.2,20,1,5.0,3.1,,,True,
Yevamot,yevamot_61b,61,True,,18,4,22.2,18,4,22.2,19,1,5.3,22.2,a,8,True,
Yevamot,yevamot_66b,66,False,yevamot_67,10,4,40.0,16,6,37.5,15,0,0.0,38.8,a,1,True,
Yevamot,yevamot_67b,67,True,,15,3,20.0,13,3,23.1,13,0,0.0,21.6,,,True,
Yevamot,yevamot_92b,92,True,,10,2,20.0,9,2,22.2,12,0,0.0,21.1,,,True,
Yevamot,yevamot_112b,112,True,,22,0,0.0,18,1,5.6,16,0,0.0,2.8,,,True,
